RESULTS:
Trials, Threads, Speedup, Parallel Fraction
100, 2, 1.22945505171042163882, .37326301826358445088
100, 4, .00640413683373110580, -206.86542443064182218876
100, 8, .01032219570405727923, -109.57555739058629238744
100, 16, .01859586316626889419, -56.29376114081996435680
1000, 2, .74854176271322335584, -.67186161096829477294
1000, 4, .04564132373869991380, -27.87995901039379300795
1000, 8, .09022028904167251297, -11.52455009997778271615
1000, 16, .18064102307121810419, -4.83823050747151945554
10000, 2, 1.19200980924738859830, .32216145833333333334
10000, 4, .34574492852597432833, -2.52307416053151373675
10000, 8, .68705086218938676682, -.52056722024643228277
10000, 16, 1.52886122708718123826, .36897962498604103428
100000, 2, .78220292041905816962, -.55688127439938221300
100000, 4, .57605695676671982886, -.98125260764208368217
100000, 8, 1.19724050004297542760, .18828106326735321843
100000, 16, 2.44964473646512782802, .63122937619413805527
1000000, 2, .98710469302305931114, -.02612753655835257458
1000000, 4, .99131579122914555805, -.01168037988525234278
1000000, 8, 1.95677426097320358471, .55880554035459269383
1000000, 16, 3.85446454976493007197, .78993129839567846163
